M,k,model,seed,net_loss,net_loss_std,cash,ent_total,kl_track,l1_track,incons,n_subtrades,support_size
3,2,base,32,17.630873,13.013188,114.982040,17.105466,0.014819,0.102513,,44,6
3,2,LOPAMM,33,4.883462,6.592104,98.401621,6.073952,0.018502,0.130172,,60,6
3,2,ind,33,5.035153,10.291021,117.847918,4.854706,0.029115,0.151983,,60,6
3,2,base,33,1.580733,4.721622,47.334952,1.599068,0.011001,0.092468,,45,6
3,2,LOPAMM,34,10.180984,8.484199,138.712139,19.487292,0.023014,0.139621,,52,6
3,2,ind,34,12.026872,16.499908,167.520993,12.043218,0.035829,0.172021,,52,6
3,2,base,34,5.894579,8.855951,85.656334,6.241851,0.019311,0.133117,,41,6
3,2,LOPAMM,35,5.995230,9.365050,101.611304,11.593196,0.017791,0.123409,,58,6
3,2,ind,35,8.068075,15.229971,132.842932,8.332262,0.031039,0.158658,,58,6
3,2,base,35,3.838582,7.180393,57.412019,3.194458,0.014885,0.110440,,44,6
3,2,LOPAMM,36,9.104018,8.744636,144.478670,8.310342,0.027713,0.162639,,60,6
3,2,ind,36,8.228386,11.899192,176.977403,9.135109,0.046558,0.196122,,60,6
3,2,base,36,1.437460,4.074016,69.056056,1.319557,0.019684,0.135094,,45,6
3,2,LOPAMM,37,7.981375,11.176023,113.401570,8.314811,0.018896,0.125748,,64,6
3,2,ind,37,10.483765,18.698936,133.567352,8.766191,0.025074,0.139158,,64,6
3,2,base,37,0.974232,5.058654,45.961018,1.016616,0.010200,0.088104,,47,6
3,2,LOPAMM,38,6.236203,7.461472,151.092160,7.553790,0.035435,0.169637,,60,6
3,2,ind,38,7.221066,19.168376,165.670729,8.021030,0.045163,0.192102,,60,6
3,2,base,38,1.927873,6.680487,69.222972,1.643629,0.021602,0.139246,,45,6
3,2,LOPAMM,39,10.151697,11.373502,156.579621,6.984899,0.022765,0.144279,,62,6
3,2,ind,39,4.764095,15.407473,180.515008,8.435537,0.040972,0.180411,,62,6
3,2,base,39,0.370498,2.815422,64.631472,0.518310,0.015516,0.121498,,46,6
4,2,LOPAMM,0,6.436025,9.200247,173.557059,17.412269,0.017003,0.124864,,86,10
4,2,ind,0,15.392946,29.733131,233.378266,18.839183,0.035432,0.168350,,86,10
4,2,base,0,3.903775,7.471083,85.281037,3.573004,0.013238,0.107052,,63,10
